sentence_id, labels
42645850_1_1_2, "GOAL"
42645850_5_1_0, "NEED"
42645850_5_2_0, "NEED"
42645850_5_3_0, "ALTERNATIVES"
42645850_5_3_1, "ALTERNATIVES"
42645850_5_3_2, "ALTERNATIVES"
42645850_5_4_2, "ALTERNATIVES"
42645850_5_5_0, "ALTERNATIVES"
42645850_5_6_0, "ALTERNATIVES"
42645850_5_7_0, "ALTERNATIVES"
42645850_5_9_0, "ALTERNATIVES"
42645850_5_10_0, "GOAL"
42645850_5_10_2, "GOAL"
42645850_5_10_4, "ALTERNATIVES"
42645850_5_11_0, "GOAL"
42645850_6_1_0, "NEED"
42645850_6_2_1, "NEED"
42645850_6_2_4, "NEED"
42645850_6_2_5, "NEED"
42645850_6_2_6, "NEED"
42645850_6_2_7, "NEED"
42645850_6_2_8, "GOAL"
42645850_6_2_9, "GOAL"
42645850_6_2_10, "GOAL"
42645850_6_2_11, "GOAL"
42645850_7_1_0, "NEED"
42645850_7_2_0, "GOAL"
42645850_7_2_1, "GOAL"
42645850_7_3_1, "NEED"
42645850_7_4_1, "GOAL"
